Type,Parameter,Module,Drinking Standard,Standard Agriculture,First Sample, Second  Sample,Third Sample,Fourth Sample,Fifth Sample 
K17,Co,ppm,-,0.05,0.005,0.005,0.005,0.005,0.005
K17,Cr,ppm,0.05,0.1,0.005,0.005,0.005,0.005,0.005
K17,Cu,ppm,1(2),0.2,0.005,0.005,0.005,0.005,0.005
K17,Electrical Conductivity,mS.cm-1,1.5,3,0.101,0.147,0.587,0.121,0.92
K17,F-,ppm,0.5-1.5,1,0.005,0.005,0.005,0.005,0.005
K17,Fe,ppm,0.3,5,0.005,0.005,0.005,0.005,0.005
K17,Hg,ppm,6,-,1,1,1,1,1
K17,K,ppm,12,-,0.31,0.88,0.59,1.08,0.91
K17,Li,ppm,-,2.5,0.005,0.005,0.005,0.005,0.005
K17,Mg,ppm,30,100,7.87,6.55,4.27,12.1,7.88
K17,Mn,ppm,0.1(0.4),0.2,0.005,0.005,0.005,0.005,0.005
K17,Mo,ppm,0.07,0.01,0.005,0.005,0.005,0.005,0.005
K17,Na,ppm,200,-,22.03,22.3,9.16,16.16,9.84
K17,Ni,ppm,0.07,0.2,0.005,0.005,0.005,0.005,0.005
K17,Opacity,NTU,≤1(5),50,17.87,11.9,13.45,9.86,10.45
K17,Oxygen Solution,ppm,-,2,8.4,8.1,7.5,6.9,7.2
K17,P,ppm,-,-,0.005,0.15,0.005,0.14,0.25
K17,Pb,ppm,0.01,1,0.005,0.005,0.005,0.005,0.005
K17,pH,-,6.5-8.5(9),5.4-6.8,7.32,7.81,8.04,7.62,8.03
K17,Sb,ppm,0.02,-,0.005,0.005,0.005,0.005,0.005
K17,Se,ppm,0.01,0.02,0.31,0.24,0.54,0.11,0.07
K17,Si,ppm,-,-,2.33,3.76,2.82,1.54,4.65
K17,Sn,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K17,Sr,ppm,7,-,0.43,0.3,0.25,0.88,0.52
K17,Temperature,◦C,-,-,14.9,13.8,15.7,24.2,19.1
K17,Ti,ppm,0.1,-,0.005,0.005,0.005,0.005,0.005
K17,Tl,ppm,-,-,0.005,0.005,0.005,0.005,0.005
K17,TOC,ppm,2,4,0.663,0.57,1.668,0.871,1.591
